,M_t,G_t,TB_t,PROFIT_t,r_t,DSR_t,TCCSLOAN_t,PIE_t,Y_t,pi_t,CS_t
2003-03-31,1.6340486607207438,1.61480607759108,-41681.0,-0.3830589705286158,1.25,12.358857,1992391.72,1.58,0.5252600765849991,1.02339553580455,3.2
2003-06-30,1.9457251626223027,3.5248697985024613,-40926.0,0.426967001420131,1.25,12.29993,2024956.9,1.42,0.8817230452867975,-0.16374030086030444,2.8499999999999996
2003-09-30,2.0089905749458126,0.4209969856522555,-41018.0,5.553716884602888,1.02,12.144751,2048759.84,1.78,1.6495202585943503,0.7434047842181712,2.5699999999999994
2003-12-31,-0.09052231993162962,1.4851785795125139,-41789.0,6.78712721728445,1.0,12.215914,2069751.96,2.01,1.1540367047402356,0.37882318022983696,2.37
2004-03-31,0.7790947828159034,1.5601706452319952,-45317.0,12.787950424090155,1.0,12.219274,2097767.91,2.18,0.565052023890189,0.8428564848848907,2.26
2004-06-30,2.1049324622618215,0.8098023105600483,-49668.0,4.34424587623452,1.01,12.157168,2120514.9,2.47,0.7719649918941585,0.7826815851546876,2.0600000000000005
2004-09-30,1.1073041738196565,1.1759859454058663,-52313.0,4.4457648782642245,1.43,12.272636,2146892.13,2.33,0.9441229885171154,0.6357064747675167,2.1500000000000004
2004-12-31,1.3062218588782315,1.9269298892243825,-56314.0,0.30820531814930163,1.95,12.277015,2184237.29,2.56,1.0150391321133156,1.0678547871955324,2.0100000000000007
2005-03-31,0.5575122672299315,2.8651646031477185,-55806.0,19.148617663917467,2.47,14.799802,2209511.84,2.72,1.1032550529236573,0.5039526830396213,1.67
2005-06-30,0.6948609998749689,1.1963772358462244,-57168.0,2.0563076862596397,2.94,14.828576,2237680.11,2.57,0.49141503086236327,0.6735183503465692,1.8099999999999996
2005-09-30,1.4149445912558178,1.4874747314955528,-60643.0,3.532072028769573,3.46,15.139959,2265303.03,2.45,0.7807581701131383,1.5031018360350146,1.7600000000000007
2005-12-31,1.3217016286757755,1.2336621594240427,-65231.0,4.976741799713036,3.98,15.02855,2283810.85,2.47,0.5539792372076136,0.9280303951459956,1.8499999999999996
2006-03-31,1.3014980031549328,2.9144850608349593,-63891.0,1.8193910401334001,4.46,14.989443,2376085.43,2.55,1.3364138447713003,0.5197297449230476,1.7299999999999995
2006-06-30,1.0710573457885175,0.763194265274425,-63740.0,2.7132077555908296,4.91,15.044255,2400218.41,2.65,0.25841857488995146,0.8983575667043553,1.67
2006-09-30,1.4489844575182431,0.9639161825081288,-66760.0,1.518219515966912,5.25,15.367228,2415214.84,2.48,0.14984360400802643,0.9395916160159778,1.7000000000000002
2006-12-31,1.6615246806630068,0.5100612644588054,-60120.0,-2.916939344046021,5.25,15.509711,2442288.21,2.2,0.8557775565416037,-0.4113445997385945,1.6500000000000004
2007-03-31,1.4189236649933434,2.8069255476549593,-59559.0,-4.791403578846332,5.26,15.526607,2470809.56,2.37,0.3003840617131104,0.9757854382431042,1.62
2007-06-30,1.6762768122575267,1.2425764184430754,-60021.0,5.487226218295582,5.25,15.63251,2507622.29,2.41,0.6098982914680917,1.1261884506108544,1.6400000000000006
2007-09-30,1.5646136139856992,1.3850685700947274,-58539.0,-3.6784879290130412,5.07,15.712123,2551143.37,2.13,0.5743731109307149,0.6310173626604687,1.8899999999999997
2007-12-31,1.0748078951342777,1.5509905375487243,-58879.0,1.6381040730112595,4.5,15.846367,2596483.95,2.24,0.6262715512194816,1.2193378597032734,2.24
2008-03-31,1.8867982866634492,1.7151883198676998,-61921.0,-7.78436664821287,3.18,15.775857,2633175.9,2.17,-0.42767755900321447,1.0773624029876139,3.08
2008-06-30,1.6966813527005797,11.001034146252664,-62311.0,1.6740066440665835,2.09,15.326612,2658948.63,2.37,0.5936625931315831,1.292545801987277,3.1100000000000003
2008-09-30,1.2334323558183868,-6.171725013404661,-63225.0,-4.834698031473295,1.94,15.546547,2661649.39,1.94,-0.5266423802783748,1.5299597005309806,3.35
2008-12-31,3.0936270239010355,-0.038954272435987036,-49993.0,-50.74116789411151,0.51,15.72136,2651999.95,-0.5,-2.2133412739485436,-2.316666662371425,5.59
